,title,year,min_players,max_players,avg_time,geek_age,community_age,avg_rating,no_ratings,complexity,comments,fans,views,mechanics
0,Catan,1995,3,4,90,10,8,7.165,94325,2.33,17582,5096,3576083,"['Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Race', 'Random Production', 'Trading', 'Variable Setup']"
1,Carcassonne,2000,2,5,37,7,8,7.42,94243,1.92,17476,5462,3379814,"['Area Majority / Influence', 'Map Addition', 'Tile Placement']"
